"_id","subSubCategoryName","subCategoryName","mainCategoryName","priority","createdAt","updatedAt"
"6710f4903e370fb111ae6bf1","Handbags","Men Fashions","Fashion",2,"2024-10-17T11:27:12.506Z","2024-10-17T11:27:12.506Z"
"67122f4e930a3f8395d8a71b","Mixer","Kitchen","Home Appliences",1,"2024-10-18T09:50:06.890Z","2024-10-18T09:50:06.890Z"
